"","x"
"1","Regulus Arcturus Black"
"2","Sirius Black"
"3","Lavender Brown"
"4","Cho Chang"
"5","Vincent Crabbe Sr."
"6","Vincent Crabbe"
"7","Bartemius ""Barty"" Crouch Sr."
"8","Bartemius ""Barty"" Crouch Jr."
"9","Fleur Delacour"
"10","Cedric Diggory"
"11","Alberforth Dumbledore"
"12","Albus Dumbledore"
"13","Dudley Dursley"
"14","Petunia Dursley"
"15","Vernon Dursley"
"16","Argus Filch"
"17","Seamus Finnigan"
"18","Nicolas Flamel"
"19","Cornelius Fudge"
"20","Goyle Sr."
"21","Gregory Goyle"
"22","Hermione Granger"
"23","Rubeus Hagrid"
"24","Igor Karkaroff"
"25","Viktor Krum"
"26","Bellatrix Lestrange"
"27","Alice Longbottom"
"28","Frank Longbottom"
"29","Neville Longbottom"
"30","Luna Lovegood"
"31","Xenophilius Lovegood"
"32","Remus Lupin"
"33","Draco Malfoy"
"34","Lucius Malfoy"
"35","Narcissa Malfoy"
"36","Olympe Maxime"
"37","Minerva McGonagall"
"38","Alastor ""Mad-Eye"" Moody"
"39","Peter Pettigrew"
"40","Harry Potter"
"41","James Potter"
"42","Lily Potter"
"43","Quirinus Quirrell"
"44","Tom Riddle Sr."
"45","Mary Riddle"
"46","Lord Voldemort"
"47","Rita Skeeter"
"48","Severus Snape"
"49","Nymphadora Tonks"
"50","Dolores Janes Umbridge"
"51","Arthur Weasley"
"52","Bill Weasley"
"53","Charlie Weasley"
"54","Fred Weasley"
"55","George Weasley"
"56","Ginny Weasley"
"57","Molly Weasley"
"58","Percy Weasley"
"59","Ron Weasley"
"60","Dobby"
"61","Fluffy"
"62","Hedwig"
"63","Moaning Myrtle"
"64","Aragog"
"65","Grawp"
